channel_exit_level,close_reason_code,duration_sec,entry_atr,entry_context_file,entry_px,exit_px,final_stop_price,initial_stop_price,inst_id,mae_abs,mae_pct,mae_r,mfe_abs,mfe_pct,mfe_r,peak_price,peak_unrealized_pnl,planned_risk_pct,pnl,pnl_pct,position_notional_usdt,qty,reason,risk_amount_usdt,risk_per_contract,side,system_name,time,trade_context_file,trade_id,trough_price,units
0.1223,stopout_cooldown,3,9.249999999999883e-05,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_014955_OP-USDT-SWAP_long.json,0.12325,0.123,0.12306500000000001,0.12306500000000001,OP-USDT-SWAP,0.0012,0.973631,6.486486,0.0003,0.243408,1.621622,0.12325,0.0,1.0,-5.5262500000000045,-0.20283975659229225,2724.44125,22105.0,ATR стоп 2.0N,787.8374025993361,0.00018499999999999767,long,Turtle 55,2026-03-15 01:49:58,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_014958_OP-USDT-SWAP_long_trade.json,20260315_014955_OP-USDT-SWAP_long,0.123,1
0.1223,stopout_cooldown,3,9.249999999999883e-05,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_014906_OP-USDT-SWAP_long.json,0.12325,0.1229,0.12306500000000001,0.12306500000000001,OP-USDT-SWAP,0.0012,0.973631,6.486486,0.0003,0.243408,1.621622,0.12325,0.0,1.0,-7.737450000000068,-0.2839756592292114,2724.68775,22107.0,ATR стоп 2.0N,787.9024328197191,0.00018499999999999767,long,Turtle 55,2026-03-15 01:49:09,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_014909_OP-USDT-SWAP_long_trade.json,20260315_014906_OP-USDT-SWAP_long,0.1229,1
0.1223,защита_тренда:_откат_от_пика_8.78r_→_0.85r,46,9.249999999999883e-05,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_014735_OP-USDT-SWAP_long.json,0.12325,0.1231,0.12306500000000001,0.12306500000000001,OP-USDT-SWAP,0.0012,0.973631,6.486486,0.0003,0.243408,1.621622,0.12325,0.0,1.0,0.3557999999992825,0.013074815542364789,2724.93425,22109.0,Защита тренда: откат от пика 8.78R → 0.85R,787.9598238036914,0.00018499999999999767,long,Turtle 55,2026-03-15 01:48:21,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_014821_OP-USDT-SWAP_long_trade.json,20260315_014734_OP-USDT-SWAP_long,0.1231,1
0.1223,stopout_cooldown,93,9.249999999999883e-05,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_014519_OP-USDT-SWAP_long.json,0.12325,0.123,0.12306500000000001,0.12306500000000001,OP-USDT-SWAP,0.0012,0.973631,6.486486,0.0003,0.243408,1.621622,0.12325,0.0,1.0,-4.422400000000127,-0.16233766233766697,2725.304,22112.0,ATR стоп 2.0N,788.0423354715036,0.00018499999999999767,long,Turtle 55,2026-03-15 01:46:52,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_014652_OP-USDT-SWAP_long_trade.json,20260315_014519_OP-USDT-SWAP_long,0.123,1
0.252,stopout_cooldown,864,0.0008600000000000052,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_011555_ADA-USDT-SWAP_long.json,0.2606,0.2602,0.2607629990262903,0.25888,ADA-USDT-SWAP,0.0126,4.834996,7.325581,0.0092,3.530315,5.348837,0.2606,0.0,1.0,-5.782000000001502,-0.21590449120181726,2676.362,102.7,ATR стоп 2.0N,788.2969107960905,0.17200000000000104,long,Turtle 20,2026-03-15 01:30:20,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_013020_ADA-USDT-SWAP_long_trade.json,20260315_011555_ADA-USDT-SWAP_long,0.2602,1
0.877,stopout_cooldown,863,0.0012500000000000011,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_011555_FIL-USDT-SWAP_long.json,0.882,0.882,0.8822,0.8795,FIL-USDT-SWAP,0.007,0.793651,2.8,0.011,1.247166,4.4,0.885,9.214200000000009,1.0,0.0,0.0,2708.9748,30714.0,ATR стоп 2.0N,788.330488632621,0.0002500000000000002,long,Turtle 20,2026-03-15 01:30:18,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_013018_FIL-USDT-SWAP_long_trade.json,20260315_011554_FIL-USDT-SWAP_long,0.882,1
9.571,stopout_cooldown,1587,0.003849999999999998,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_005557_AVAX-USDT-SWAP_long.json,9.6,9.603,9.613000000000001,9.5923,AVAX-USDT-SWAP,0.417,4.34375,54.155844,0.351,3.65625,45.584416,9.621,6.452000000000361,1.0,0.5531000000001377,0.020508507155698012,2696.64,280.9,ATR стоп 2.0N,789.0755553042356,0.007699999999999996,long,Turtle 20,2026-03-15 01:22:24,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_012224_AVAX-USDT-SWAP_long_trade.json,20260315_005556_AVAX-USDT-SWAP_long,9.6,1
2.24,stopout_cooldown,717,0.001499999999999968,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_010525_LPT-USDT-SWAP_long.json,2.246,2.243,2.243,2.243,LPT-USDT-SWAP,0.01,0.445236,3.333333,0.012,0.534283,4.0,2.249,0.0,1.0,-6.85320000000009,-0.26290566151375955,2603.3386,11591.0,ATR стоп 2.0N,789.0296933371221,0.00029999999999999363,long,Turtle 20,2026-03-15 01:17:23,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_011723_LPT-USDT-SWAP_long_trade.json,20260315_010524_LPT-USDT-SWAP_long,2.243,1
652.9,stopout_cooldown,1460,0.15500000000000683,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_005049_BNB-USDT-SWAP_long.json,653.9,654.1,654.11,653.5899999999999,BNB-USDT-SWAP,1.6,0.244686,5.16129,2.1,0.32115,6.774194,654.5,1.6679999999999053,1.0,0.0,0.0,2726.763,417.0,ATR стоп 2.0N,789.2770791462357,0.0031000000000001365,long,Turtle 20,2026-03-15 01:15:09,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_011509_BNB-USDT-SWAP_long_trade.json,20260315_005049_BNB-USDT-SWAP_long,653.9,1
0.5398,stopout_cooldown,866,0.000369999999999987,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_005559_ETHFI-USDT-SWAP_long.json,0.5412,0.5405,0.541371769056914,0.54046,ETHFI-USDT-SWAP,0.0035,0.646711,4.72973,0.0003,0.055432,0.405405,0.5415,0.0,1.0,-4.242900000000417,-0.1610296485227968,2634.0204,4867.0,ATR стоп 2.0N,789.0066664595231,0.000739999999999974,long,Turtle 20,2026-03-15 01:10:26,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_011026_ETHFI-USDT-SWAP_long_trade.json,20260315_005559_ETHFI-USDT-SWAP_long,0.5405,1
4.401,stopout_cooldown,866,0.003900000000000059,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_005558_KSM-USDT-SWAP_long.json,4.417,4.423,4.425603082532317,4.409199999999999,KSM-USDT-SWAP,0.027,0.611275,3.461538,0.017,0.384877,2.179487,4.434,0.2395000000001902,1.0,-1.5706999999998785,-0.05881870750205627,2665.2178000000004,6034.0,ATR стоп 2.0N,789.0598732069329,0.0007800000000000118,long,Turtle 20,2026-03-15 01:10:24,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_011024_KSM-USDT-SWAP_long_trade.json,20260315_005558_KSM-USDT-SWAP_long,4.417,1
2.924e-05,stopout_cooldown,864,9.149999999999989e-08,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_005555_FLOKI-USDT-SWAP_long.json,2.935e-05,2.93e-05,2.93599783318e-05,2.9167e-05,FLOKI-USDT-SWAP,9.5e-07,3.236797,5.191257,5e-08,0.170358,0.273224,2.936e-05,0.0,1.0,-5.536000025139949,-0.20428602202010648,2709.0049999999997,923.0,ATR стоп 2.0N,789.1167840028055,0.018299999999999976,long,Turtle 20,2026-03-15 01:10:20,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_011020_FLOKI-USDT-SWAP_long_trade.json,20260315_005555_FLOKI-USDT-SWAP_long,2.928e-05,1
